start_OD,end_OD,start_intersection,end_intersection,route_intersections
35,224,3549,3549,3549|358|3152|3119|2687|2591|2135|2136|5113|5636|3849|4880|6169|6313|6698|4091|4099|4685|4798|5188|2487|2323|2282|2363|1812|49|50|871|7044|7228|3549|
35,225,3549,3549,3549|358|3152|3005|2989|2605|2570|2513|2514|2092|2093|2140|5122|3852|4420|4311|4417|4657|6613|6709|7025|4022|4604|5002|5132|5190|2814|2266|1755|777|872|7039|3549|
35,226,3549,3549,3549|3580|3581|3550|3192|3078|2987|2693|2694|2582|2583|5037|2131|4491|4465|4466|4452|4648|4649|6556|4786|4763|4787|2562|434|435|6336|3549|
35,227,3549,3549,3549|358|3152|3119|3004|2706|2705|2724|5136|5160|5656|4485|3881|3883|4688|4687|6733|6524|6525|6614|6615|7052|4199|4103|4549|4793|5102|5575|2840|2841|2272|1717|1720|33|32|436|7065|6320|6367|5265|5266|3549|
35,228,3549,3549,3549|358|3152|3119|3004|2706|2705|2724|5136|5160|5656|4485|3881|3883|4688|4687|6733|6524|6525|6614|6615|7052|4199|4103|4549|4793|5102|5575|2840|2841|2272|1717|1716|203|204|414|6888|7047|6232|6416|5348|5403|5404|5693|5448|3549|
35,188,3549,3549,3549|358|3152|3119|3004|2706|2705|2724|5136|5160|5656|4485|3881|3883|4688|4687|6733|6524|6525|6554|6309|6619|6673|6712|6909|4049|4051|4093|4030|4029|4034|4792|2799|2579|146|892|5908|3900|3901|1985|1933|1559|2331|3793|3819|4131|3482|3542|3549|
35,229,3549,3549,3549|3580|3581|3550|3192|3078|2987|2693|2694|2582|2569|2552|2542|2515|2114|2115|5106|5107|5584|4171|4172|4646|6060|6095|6219|6560|4570|4606|3012|151|152|997|998|7068|7067|5901|5916|6339|5304|5306|5460|3949|1581|1533|1534|3549|
35,187,3549,3549,3549|358|3152|3119|3004|2706|2705|2724|5136|5160|5656|4485|3881|3883|4688|4687|6733|6524|6525|6554|6309|6619|6673|6712|6909|4049|4051|4093|4030|4029|4034|4792|2799|2579|146|746|886|6390|5474|4456|1965|1977|2453|3447|3996|4719|4640|4641|5186|5187|1766|666|667|637|642|1161|2349|2350|2733|2730|2948|6026|5868|5828|5049|5040|4822|3549|
35,189,3549,3549,3549|358|3152|3119|3004|2706|2705|2724|5136|5160|5656|4485|3881|3883|4688|4687|6733|6524|6525|6554|6309|6619|6673|6712|6909|4049|4051|4093|4030|4029|4034|4792|2799|2579|146|892|5908|3900|3901|1985|1933|1559|2331|3793|4132|4808|4820|3549|
35,180,3549,3549,3549|358|3152|3119|2687|2591|2135|2136|5113|5636|3849|4880|6169|6313|6698|4091|4099|4685|4798|5188|2487|2323|2282|2363|1812|49|54|769|1044|5909|5932|6395|5465|4430|1588|1592|1915|1934|2912|3803|3927|4715|5582|5562|5894|5892|1895|677|678|3405|3475|3476|2393|2394|2832|6568|6068|5863|5821|5052|5053|4826|4235|4146|86|87|464|494|897|3453|3694|2900|4672|4130|4133|5757|69|130|775|796|1321|1474|3549|
35,10,3549,3549,3549|358|3152|3005|2989|2605|2570|2513|2514|2092|2093|2140|5122|3852|4420|4311|4417|4657|6613|6709|7025|4022|4604|5002|5132|5190|2814|2266|1755|777|872|7039|6325|5285|3891|1891|1969|2938|2939|3430|3433|646|657|2937|5775|4800|3899|3932|7098|6860|120|121|819|3226|2201|2202|2907|836|844|1450|1900|2598|3519|2014|2008|3549|
