start_OD,end_OD,start_intersection,end_intersection,route_intersections
35,237,3549,6480,3549|3580|3581|3550|3192|3078|2987|2693|2694|2582|2569|2552|3018|488|487|360|6772|6594|5787|3320|3321|3661|4074|6803|6802|6913|3549|
35,237,3549,1839,3549|3580|3581|3550|3192|3078|2987|2693|2694|2582|2569|2552|2542|2515|2114|2115|5106|5107|5584|4171|4172|4646|6060|6095|6219|6560|4570|4606|3012|151|3549|
35,237,3549,4770,3549|358|3152|3119|2687|2591|2135|2136|5113|5636|3849|4880|6169|6313|6698|4091|4099|4685|4798|5188|2487|2323|2282|2363|1812|49|54|769|1044|5909|5932|6395|5465|4430|1588|1592|1915|1934|2912|3803|3927|4715|5582|1366|1437|1432|1211|1065|1074|3431|2433|2418|2409|2381|2382|2778|5235|5300|6570|6056|6004|6005|5818|5681|5699|5702|5071|4780|3549|
35,237,3549,6482,3549|3580|357|387|409|7019|6573|5977|5976|5616|5735|5280|5655|5455|4904|4934|4525|4299|3257|3254|3365|3706|3705|3725|4020|4019|4581|4580|3549|
35,237,3549,525,3549|3580|3581|3550|3192|3078|2987|2693|2694|2582|2569|3080|3561|529|3549|
35,237,3549,3110,3549|358|3152|3119|3004|2706|2705|2724|2551|5194|2585|2586|2679|3549|
35,237,3549,5330,3549|358|3152|3005|2989|2605|2570|2513|2514|2092|2093|2140|5122|3852|4420|4311|4417|4657|6613|6709|7025|4022|4604|5002|5132|5190|2814|2266|1755|777|872|7039|6325|5285|5301|3549|
35,237,3549,5334,3549|3580|357|387|409|7019|6573|6465|5955|5954|4886|4838|4300|4387|4254|3249|3311|3377|3741|4602|7109|6748|6484|6485|6123|1792|1243|1188|953|951|756|734|305|304|4401|4939|4366|4496|5352|5336|5333|3549|
35,237,3549,3244,3549|3580|3581|3550|3192|3078|2987|2693|2694|2582|2569|2552|3018|488|487|360|6772|6594|5787|3320|3321|3661|3664|5009|3318|3322|3634|3549|
35,237,3549,2478,3549|358|3152|3119|3004|2706|2705|2724|5136|5160|5656|4485|3881|3883|4688|4687|6733|6524|6525|6614|6615|7052|4199|4103|4549|4793|5102|5575|2840|2841|2272|1717|1716|203|204|414|6888|6222|6223|5296|5345|3925|1522|1537|2574|3553|3774|3776|3905|4112|5185|5172|554|670|1076|3348|3461|2295|2296|3549|
35,237,3549,4971,3549|358|3152|3005|2989|2605|2570|2696|2990|2689|2602|2499|2497|2498|5134|3841|3844|3980|3983|3549|
35,237,3549,3626,3549|358|3152|3119|2687|2591|2135|2136|5113|5636|3849|4880|6169|6313|6698|4091|4099|4685|4798|5188|2487|2323|2282|2363|1812|49|54|769|1044|5909|5932|6395|5465|4430|1588|1592|1915|1934|2912|3803|3927|4715|5582|1366|1437|1432|1211|1065|1074|3431|2433|2434|2965|5209|6940|6517|6065|6033|5779|5838|5041|4767|4038|4042|4341|6794|6770|263|264|34|947|1017|3274|3449|3549|
35,237,3549,2677,3549|3580|3581|3550|3192|3078|2987|2693|2694|2582|2569|2552|2542|2640|2567|2686|3134|3169|3070|2707|2700|2701|3604|363|327|2697|2678|3549|
35,237,3549,4961,3549|3580|3581|3550|3192|3078|386|385|404|446|6464|6425|5783|4926|4441|3234|3935|4607|6955|6301|6265|1176|275|712|231|227|4932|4373|4363|4354|4355|4483|4706|4402|4394|4380|4379|3549|
35,237,3549,2678,3549|3580|3581|3550|3192|3078|2987|2693|2694|2582|2569|2552|2542|2640|2567|2686|3134|3169|3070|2707|2700|2701|3604|363|327|2697|3549|
35,237,3549,6393,3549|358|3152|3119|3004|2706|2705|2724|5136|5160|5656|4485|3881|3883|4688|4687|6733|6524|6525|6614|6615|7052|4199|4103|4549|4793|5102|5575|2840|2841|2272|1717|1716|203|204|414|6888|7047|6232|6410|6413|5936|3549|
35,237,3549,4445,3549|358|3152|3119|3004|2706|2705|2724|2551|5194|2585|5034|5064|5121|5112|5119|5059|5060|5583|4691|4690|4174|3943|4481|5145|5139|2555|2519|4442|3549|
35,237,3549,6391,3549|358|3152|3119|2687|2591|2135|2136|5113|5636|3849|4880|6169|6313|6698|4091|4099|4685|4798|5188|2487|2323|2282|2363|1812|49|54|769|1044|5909|5932|6395|5465|4430|1588|1592|1915|1934|2912|2790|3804|4046|4802|1381|1385|1196|1213|1215|3529|2325|2326|2845|5321|6545|6469|5987|5874|5763|5377|4748|4806|4186|4187|4349|6835|181|185|489|958|3204|3395|2477|2439|2294|2869|4071|4072|5586|395|394|141|971|979|798|1352|1464|1843|1883|1884|2059|2510|2558|2665|2999|3084|3354|3471|2089|2039|2041|2070|507|881|791|792|1598|1645|1644|3549|
35,237,3549,3235,3549|358|3152|3119|2687|2591|2135|2136|5113|5636|3849|4880|6169|6313|6698|4091|4099|4685|4798|5188|2487|2323|2282|2363|1812|49|54|769|1044|5909|5932|6395|5465|4430|1588|1592|1915|1934|2912|2790|3804|4046|4802|1381|1385|1196|1213|1215|3529|2325|2326|2845|5321|6545|6469|5987|5874|5763|5377|4748|4806|4186|4187|4349|6835|181|185|45|500|3549|
35,237,3549,4150,3549|3580|3581|3550|3192|3078|2987|2693|2694|2582|2583|5037|2131|4491|4465|4466|4452|4648|4649|6556|4786|5018|2601|416|417|1046|5934|5933|5284|5311|1526|1544|1953|2340|3091|3496|3415|3416|3754|3760|3929|4079|4016|5026|4717|4716|4729|1386|1387|634|1184|2463|2457|2458|2743|6635|6634|6585|6486|6483|4755|4063|3858|4097|4288|4280|3549|
35,237,3549,4346,3549|3580|3581|3550|3192|3078|2987|2693|2694|2582|2583|5037|2131|4491|4465|4466|4452|4648|4649|6556|4786|5018|2601|416|417|1046|5934|5933|5284|5311|1526|1544|1953|2340|3091|3496|3415|3416|3754|3760|3929|4079|4016|5026|4717|4716|4729|1386|1387|634|1184|2463|2457|2458|2743|6635|6634|6585|6486|5990|3854|3877|6789|6756|4347|3549|
35,237,3549,2997,3549|358|3152|3119|2687|2591|2135|2136|5113|5636|3849|4880|6169|6313|6698|4091|4099|4685|4798|5188|2487|2323|2282|2363|1812|49|54|769|1044|5909|5932|6395|5465|4430|1588|1592|1915|1934|2912|2790|3804|4046|4802|1381|1385|1196|1213|1215|3529|2325|2326|2845|5321|6545|6469|5987|5874|5763|5377|4748|4806|4186|4187|4349|6835|181|185|489|958|3204|3395|2477|2439|2294|2869|4661|4331|4231|4230|7154|390|140|176|990|1377|1834|1772|1775|1855|2023|2047|2633|2634|3549|
35,237,3549,577,3549|358|354|336|351|350|451|526|574|6964|7004|7118|7005|6973|6762|6783|6853|6453|6456|6500|6414|6591|6406|6574|6852|576|3549|
35,237,3549,5133,3549|3580|357|387|409|7019|6573|5977|5976|5616|5735|5280|5655|5455|5250|5168|3549|
35,237,3549,3250,3549|358|354|336|423|6972|6492|5953|5948|5982|4908|4521|3224|3221|3549|
35,237,3549,301,3549|3580|3581|3550|3192|3078|386|385|404|446|6464|6425|5783|4926|4441|3234|3935|4607|6955|6301|6265|1176|1282|1172|711|228|3549|
35,237,3549,4366,3549|3580|357|387|409|7019|6573|6465|5955|5954|4886|4838|4300|4387|4254|3249|3311|3377|3741|4602|7109|6748|6484|6485|6123|1792|1243|1188|953|951|756|734|305|304|4401|4939|3549|
35,237,3549,4842,3549|358|3152|3119|2687|2591|2135|2136|5113|5636|3849|4880|6169|6313|6698|4091|4099|4685|4798|5188|2487|2323|2282|2363|1812|49|54|769|1044|5909|5932|6395|5465|4430|1588|1592|1915|1934|2912|3803|3927|4715|5582|5562|5894|5892|1895|677|678|3405|3475|3476|2393|2394|2832|6568|6068|5863|5821|5052|5053|4826|4235|4146|86|87|464|494|897|3453|3694|2900|3549|
35,237,3549,2468,3549|358|3152|3119|3004|2706|2705|2724|2551|5194|2585|5034|5064|5121|5112|5119|5059|5060|5583|4691|4690|4174|3943|4175|6731|6127|6148|6707|4586|4835|5074|3549|
